grid;level1;level2;level3;level4;level5;activitySum;activityCategory
683:320;1;73.4;147.9;181;215.1;342;5
683:321;1;110.9;222.8;270.4;319.1;480;5
683:322;1;101.6;181.2;235.2;271.2;353;5
683:323;1;101.6;181.2;235.2;271.2;308;5
683:324;1;101.6;181.2;235.2;271.2;288;5
683:325;1;101.6;181.2;235.2;271.2;288;5
683:326;1;101.6;181.2;235.2;271.2;377;5
683:327;1;101.6;181.2;235.2;271.2;333;5
683:328;1;101.6;181.2;235.2;271.2;278;5
683:329;1;101.6;181.2;235.2;271.2;357;5
683:330;1;101.6;181.2;235.2;271.2;394;5
683:331;1;101.6;181.2;235.2;271.2;334;5
683:332;1;81.28;144.96;188.16;216.96;314;5
683:333;1;101.6;181.2;235.2;271.2;328;5
683:334;1;101.6;181.2;235.2;271.2;245;4
683:335;1;101.6;181.2;235.2;271.2;263;4
683:336;1;101.6;181.2;235.2;271.2;325;5
683:337;1;101.6;181.2;235.2;271.2;296;5
683:338;1;101.6;181.2;235.2;271.2;276;5
683:339;1;101.6;181.2;235.2;271.2;277;5
683:340;1;101.6;181.2;235.2;271.2;224;3
683:341;1;101.6;181.2;235.2;271.2;280;5
683:342;1;81.28;144.96;188.16;216.96;230;5
683:343;1;101.6;181.2;235.2;271.2;264;4
683:344;1;101.6;181.2;235.2;271.2;295;5
683:345;1;81.28;144.96;188.16;216.96;234;5
683:346;1;101.6;181.2;235.2;271.2;250;4
683:347;1;101.6;181.2;235.2;271.2;288;5
683:348;1;101.6;181.2;235.2;271.2;245;4
683:349;1;101.6;181.2;235.2;271.2;278;5
683:350;1;101.6;181.2;235.2;271.2;329;5
683:351;1;101.6;181.2;235.2;271.2;339;5
683:352;1;101.6;181.2;235.2;271.2;229;3
683:353;1;101.6;181.2;235.2;271.2;246;4
683:354;1;81.28;144.96;188.16;216.96;242;5
683:355;1;101.6;181.2;235.2;271.2;229;3
683:356;1;101.6;181.2;235.2;271.2;221;3
683:357;1;101.6;181.2;235.2;271.2;201;3
683:358;1;101.6;181.2;235.2;271.2;225;3
683:359;1;101.6;181.2;235.2;271.2;217;3
683:360;1;101.6;181.2;235.2;271.2;256;4
683:361;1;101.6;181.2;235.2;271.2;259;4
683:362;1;101.6;181.2;235.2;271.2;304;5
683:363;1;101.6;181.2;235.2;271.2;387;5
683:364;1;101.6;181.2;235.2;271.2;302;5
684:320;1;85.9;172.8;210.8;249.8;373;5
684:321;1;105.7;212.4;258.1;304.7;400;5
684:322;1;100.8;179.6;233.6;269.6;277;5
684:323;1;100.8;179.6;233.6;269.6;251;4
684:324;1;100.8;179.6;233.6;269.6;310;5
684:325;1;100.8;179.6;233.6;269.6;278;5
684:326;1;100.8;179.6;233.6;269.6;352;5
684:327;1;100.8;179.6;233.6;269.6;272;5
684:328;1;100.8;179.6;233.6;269.6;339;5
684:329;1;100.8;179.6;233.6;269.6;389;5
684:330;1;100.8;179.6;233.6;269.6;333;5
684:331;1;100.8;179.6;233.6;269.6;287;5
684:332;1;80.64;143.68;186.88;215.68;223;5
684:333;1;100.8;179.6;233.6;269.6;276;5
684:334;1;100.8;179.6;233.6;269.6;248;4
684:335;1;100.8;179.6;233.6;269.6;259;4
684:336;1;100.8;179.6;233.6;269.6;333;5
684:337;1;100.8;179.6;233.6;269.6;251;4
684:338;1;100.8;179.6;233.6;269.6;289;5
684:339;1;100.8;179.6;233.6;269.6;201;3
684:340;1;100.8;179.6;233.6;269.6;209;3
684:341;1;100.8;179.6;233.6;269.6;244;4
684:342;1;80.64;143.68;186.88;215.68;275;5
684:343;1;100.8;179.6;233.6;269.6;290;5
684:344;1;100.8;179.6;233.6;269.6;254;4
684:345;1;100.8;179.6;233.6;269.6;245;4
684:346;1;100.8;179.6;233.6;269.6;240;4
684:347;1;100.8;179.6;233.6;269.6;286;5
684:348;1;80.64;143.68;186.88;215.68;196;4
684:349;1;100.8;179.6;233.6;269.6;260;4
684:350;1;100.8;179.6;233.6;269.6;290;5
684:351;1;100.8;179.6;233.6;269.6;337;5
684:352;1;100.8;179.6;233.6;269.6;215;3
684:353;1;100.8;179.6;233.6;269.6;182;3
684:354;1;100.8;179.6;233.6;269.6;282;5
684:355;1;100.8;179.6;233.6;269.6;253;4
684:356;1;100.8;179.6;233.6;269.6;198;3
684:357;1;100.8;179.6;233.6;269.6;192;3
684:358;1;80.64;143.68;186.88;215.68;251;5
684:359;1;100.8;179.6;233.6;269.6;226;3
684:360;1;80.64;143.68;186.88;215.68;205;4
684:361;1;80.64;143.68;186.88;215.68;217;5
684:362;1;100.8;179.6;233.6;269.6;265;4
684:363;1;100.8;179.6;233.6;269.6;259;4
684:364;1;100.8;179.6;233.6;269.6;326;5
684:365;1;80.64;143.68;186.88;215.68;153;3
685:319;1;19.5;40;52.2;65.3;45;3
685:320;1;73.4;147.9;181;215.1;236;5
685:321;1;110.9;222.8;270.4;319.1;373;5
685:322;1;100;178;232;268;233;4
685:323;1;100;178;232;268;272;5
685:324;1;100;178;232;268;277;5
685:325;1;100;178;232;268;278;5
685:326;1;100;178;232;268;302;5
685:327;1;100;178;232;268;288;5
685:328;1;100;178;232;268;311;5
685:329;1;100;178;232;268;343;5
685:330;1;100;178;232;268;296;5
685:331;1;100;178;232;268;234;4
685:332;1;100;178;232;268;247;4
685:333;1;100;178;232;268;316;5
685:334;1;100;178;232;268;292;5
685:335;1;100;178;232;268;242;4
685:336;1;100;178;232;268;294;5
685:337;1;100;178;232;268;236;4
685:338;1;100;178;232;268;236;4
685:339;1;100;178;232;268;194;3
685:340;1;100;178;232;268;312;5
685:341;1;100;178;232;268;215;3
685:342;1;80;142.4;185.6;214.4;232;5
685:343;1;100;178;232;268;285;5
685:344;1;100;178;232;268;284;5
685:345;1;100;178;232;268;255;4
685:346;1;100;178;232;268;248;4
685:347;1;100;178;232;268;243;4
685:348;1;80;142.4;185.6;214.4;177;3
685:349;1;100;178;232;268;272;5
685:350;1;100;178;232;268;211;3
685:351;1;100;178;232;268;284;5
685:352;1;100;178;232;268;300;5
685:353;1;100;178;232;268;202;3
685:354;1;100;178;232;268;185;3
685:355;1;100;178;232;268;212;3
685:356;1;100;178;232;268;196;3
685:357;1;100;178;232;268;242;4
685:358;1;80;142.4;185.6;214.4;234;5
685:359;1;80;142.4;185.6;214.4;218;5
685:360;1;80;142.4;185.6;214.4;242;5
685:361;1;100;178;232;268;271;5
685:362;1;80;142.4;185.6;214.4;277;5
685:363;1;100;178;232;268;214;3
685:364;1;100;178;232;268;283;5
685:365;1;80;142.4;185.6;214.4;283;5
685:366;1;80;142.4;185.6;214.4;83;2
686:320;1;73.4;147.9;181;215.1;261;5
686:321;1;99.2;176.4;230.4;266.4;303;5
686:322;1;99.2;176.4;230.4;266.4;274;5
686:323;1;99.2;176.4;230.4;266.4;284;5
686:324;1;99.2;176.4;230.4;266.4;304;5
686:325;1;99.2;176.4;230.4;266.4;379;5
686:326;1;99.2;176.4;230.4;266.4;306;5
686:327;1;99.2;176.4;230.4;266.4;378;5
686:328;1;99.2;176.4;230.4;266.4;333;5
686:329;1;99.2;176.4;230.4;266.4;300;5
686:330;1;99.2;176.4;230.4;266.4;280;5
686:331;1;99.2;176.4;230.4;266.4;238;4
686:332;1;99.2;176.4;230.4;266.4;240;4
686:333;1;99.2;176.4;230.4;266.4;317;5
686:334;1;99.2;176.4;230.4;266.4;341;5
686:335;1;99.2;176.4;230.4;266.4;285;5
686:336;1;99.2;176.4;230.4;266.4;281;5
686:337;1;99.2;176.4;230.4;266.4;206;3
686:338;1;99.2;176.4;230.4;266.4;217;3
686:339;1;99.2;176.4;230.4;266.4;254;4
686:340;1;99.2;176.4;230.4;266.4;294;5
686:341;1;99.2;176.4;230.4;266.4;255;4
686:342;1;79.36;141.12;184.32;213.12;264;5
686:343;1;99.2;176.4;230.4;266.4;282;5
686:344;1;99.2;176.4;230.4;266.4;219;3
686:345;1;99.2;176.4;230.4;266.4;234;4
686:346;1;99.2;176.4;230.4;266.4;248;4
686:347;1;99.2;176.4;230.4;266.4;186;3
686:348;1;99.2;176.4;230.4;266.4;273;5
686:349;1;99.2;176.4;230.4;266.4;199;3
686:350;1;99.2;176.4;230.4;266.4;191;3
686:351;1;99.2;176.4;230.4;266.4;259;4
686:352;1;99.2;176.4;230.4;266.4;233;4
686:353;1;99.2;176.4;230.4;266.4;197;3
686:354;1;99.2;176.4;230.4;266.4;361;5
686:355;1;99.2;176.4;230.4;266.4;190;3
686:356;1;99.2;176.4;230.4;266.4;208;3
686:357;1;99.2;176.4;230.4;266.4;209;3
686:358;1;99.2;176.4;230.4;266.4;277;5
686:359;1;99.2;176.4;230.4;266.4;328;5
686:360;1;99.2;176.4;230.4;266.4;336;5
686:361;1;99.2;176.4;230.4;266.4;313;5
686:362;1;79.36;141.12;184.32;213.12;261;5
686:363;1;79.36;141.12;184.32;213.12;163;3
686:364;1;99.2;176.4;230.4;266.4;242;4
686:365;1;79.36;141.12;184.32;213.12;382;5
686:366;1;79.36;141.12;184.32;213.12;173;3
687:320;1;73.4;147.9;181;215.1;238;5
687:321;1;98.4;174.8;228.8;264.8;296;5
687:322;1;98.4;174.8;228.8;264.8;267;5
687:323;1;98.4;174.8;228.8;264.8;238;4
687:324;1;98.4;174.8;228.8;264.8;276;5
687:325;1;98.4;174.8;228.8;264.8;267;5
687:326;1;98.4;174.8;228.8;264.8;284;5
687:327;1;98.4;174.8;228.8;264.8;270;5
687:328;1;98.4;174.8;228.8;264.8;239;4
687:329;1;98.4;174.8;228.8;264.8;249;4
687:330;1;98.4;174.8;228.8;264.8;326;5
687:331;1;98.4;174.8;228.8;264.8;246;4
687:332;1;98.4;174.8;228.8;264.8;242;4
687:333;1;98.4;174.8;228.8;264.8;278;5
687:334;1;98.4;174.8;228.8;264.8;360;5
687:335;1;98.4;174.8;228.8;264.8;302;5
687:336;1;98.4;174.8;228.8;264.8;283;5
687:337;1;98.4;174.8;228.8;264.8;302;5
687:338;1;98.4;174.8;228.8;264.8;176;3
687:339;1;98.4;174.8;228.8;264.8;216;3
687:340;1;98.4;174.8;228.8;264.8;307;5
687:341;1;98.4;174.8;228.8;264.8;282;5
687:342;1;98.4;174.8;228.8;264.8;241;4
687:343;1;98.4;174.8;228.8;264.8;271;5
687:344;1;98.4;174.8;228.8;264.8;248;4
687:345;1;98.4;174.8;228.8;264.8;204;3
687:346;1;98.4;174.8;228.8;264.8;203;3
687:347;1;98.4;174.8;228.8;264.8;191;3
687:348;1;98.4;174.8;228.8;264.8;229;4
687:349;1;98.4;174.8;228.8;264.8;205;3
687:350;1;78.72;139.84;183.04;211.84;173;3
687:351;1;98.4;174.8;228.8;264.8;213;3
687:352;1;98.4;174.8;228.8;264.8;175;3
687:353;1;98.4;174.8;228.8;264.8;184;3
687:354;1;98.4;174.8;228.8;264.8;201;3
687:355;1;98.4;174.8;228.8;264.8;197;3
687:356;1;98.4;174.8;228.8;264.8;178;3
687:357;1;98.4;174.8;228.8;264.8;283;5
687:358;1;98.4;174.8;228.8;264.8;281;5
687:359;1;98.4;174.8;228.8;264.8;290;5
687:360;1;98.4;174.8;228.8;264.8;274;5
687:361;1;98.4;174.8;228.8;264.8;257;4
687:362;1;78.72;139.84;183.04;211.84;243;5
687:363;1;78.72;139.84;183.04;211.84;164;3
687:364;1;98.4;174.8;228.8;264.8;198;3
687:365;1;98.4;174.8;228.8;264.8;248;4
687:366;1;98.4;174.8;228.8;264.8;249;4
687:367;1;78.72;139.84;183.04;211.84;167;3
688:319;1;19.5;40;52.2;65.3;47;3
688:320;1;105.7;212.4;258.1;304.7;290;4
688:321;1;97.6;173.2;227.2;263.2;306;5
688:322;1;97.6;173.2;227.2;263.2;239;4
688:323;1;97.6;173.2;227.2;263.2;306;5
688:324;1;97.6;173.2;227.2;263.2;278;5
688:325;1;97.6;173.2;227.2;263.2;276;5
688:326;1;97.6;173.2;227.2;263.2;241;4
688:327;1;97.6;173.2;227.2;263.2;243;4
